Daily New Addresses,Daily Active Addresses,Total Distinct Address,Total Delegators,Total Validators
139,459,102870,22380.0,101.0
93,421,102963,22390.0,101.0
164,587,103127,22414.0,100.0
145,485,103272,22422.0,100.0
111,438,103383,22421.0,100.0
111,484,103494,22448.0,100.0
102,367,103596,22484.0,100.0
88,356,103684,22508.0,100.0
68,344,103752,22517.0,100.0
74,340,103826,22534.0,100.0
78,369,103904,22551.0,100.0
89,392,103993,22557.0,100.0
78,366,104071,22568.0,101.0
94,323,104165,22595.0,101.0
98,337,104263,22613.0,101.0
73,344,104336,22614.0,100.0
129,594,104465,22631.0,101.0
87,405,104552,22638.0,100.0
89,364,104641,22652.0,100.0
87,344,104728,22686.0,101.0
91,344,104819,22708.0,100.0
73,308,104892,22739.0,100.0
91,324,104983,22776.0,101.0
89,389,105072,22788.0,102.0
140,434,105212,22804.0,101.0
91,411,105303,22840.0,113.0
117,502,105420,22829.0,103.0
114,394,105534,22838.0,99.0
85,321,105619,22883.0,99.0
79,321,105698,22930.0,101.0
98,362,105796,22950.0,100.0
89,373,105885,22978.0,101.0
112,407,105997,22994.0,102.0
190,526,106187,23018.0,101.0
109,416,106296,23059.0,101.0
101,362,106397,23069.0,100.0
96,344,106493,23090.0,100.0
83,375,106576,23123.0,102.0
81,329,106657,23122.0,101.0
80,352,106737,23135.0,100.0
83,369,106820,23144.0,100.0
71,321,106891,23147.0,100.0
95,353,106986,23162.0,100.0
76,319,107062,23181.0,100.0
97,376,107159,23198.0,100.0
83,320,107242,23210.0,100.0
80,344,107322,23218.0,100.0
131,473,107453,23235.0,101.0
97,383,107550,23262.0,101.0
101,344,107651,23274.0,100.0
84,335,107735,23298.0,100.0
116,430,107851,23322.0,100.0
147,430,107998,23340.0,100.0
130,412,108128,23375.0,102.0
121,421,108249,23383.0,101.0
120,408,108369,23392.0,100.0
122,369,108491,23411.0,100.0
98,386,108589,23438.0,100.0
122,416,108711,23447.0,101.0
175,492,108886,23450.0,100.0
243,906,109129,23464.0,100.0
192,698,109321,23503.0,100.0
164,531,109485,23543.0,100.0
135,482,109620,23574.0,100.0
142,521,109762,23626.0,100.0
127,523,109889,23661.0,100.0
180,774,110069,23698.0,100.0
169,584,110238,23757.0,100.0
161,575,110399,23809.0,101.0
191,730,110590,23848.0,102.0
344,1128,110934,23961.0,101.0
261,916,111195,24004.0,102.0
206,742,111401,24012.0,100.0
197,704,111598,24063.0,100.0
168,588,111766,24085.0,100.0
104,496,111870,24153.0,101.0
98,445,111968,24167.0,100.0
143,465,112111,24216.0,102.0
117,485,112228,24220.0,100.0
164,539,112392,24253.0,100.0
157,679,112549,24287.0,100.0
561,853,113110,24309.0,100.0
173,589,113283,24337.0,100.0
100,503,113383,24385.0,101.0
148,663,113531,24412.0,102.0
180,787,113711,24418.0,101.0
170,617,113881,24438.0,100.0
143,525,114024,24456.0,100.0
124,500,114148,24480.0,100.0
137,555,114285,24490.0,100.0
127,482,114412,24514.0,100.0
126,468,114538,24520.0,100.0
119,556,114657,24539.0,100.0
129,736,114786,24546.0,100.0
