delegated,minted,activated,active_staking,staking,liquid,circulating,active_delegated,delegated,total,frozen,inactive_staking,inactive_delegated
315702090.806786,4258462.621225,474344775.998688,381342768.254569,384731393.614047,461453808.282026,478575614.769802,315235239.267377,315702090.806786,768549436.783814,17121806.487776,3388625.359478,466851.539409
322040599.243848,4364598.954537,474652917.850023,388132543.520826,391498545.275481,460685860.786389,478989884.216449,321573747.704439,322040599.243848,768655564.379126,18304023.43006,3366001.754655,466851.539409
322240217.168583,4467381.621083,475049067.735506,388401330.947928,392305974.791884,462657605.773944,479488793.315478,321577762.458634,322240217.168583,768758323.592672,16831187.541534,3904643.843956,662454.709949
323481319.04249,4573557.954395,477255021.529861,389768258.920547,393653763.636929,463733492.471823,481800909.308145,322818864.332541,323481319.04249,768864485.790984,18067416.836322,3885504.716382,662454.709949
323411164.641096,4681948.954395,477728994.139611,390338660.910157,394188627.971074,463058794.935269,482382923.852895,322748690.291147,323411164.641096,768972527.725984,19324128.917626,3849967.060917,662474.349949
326383642.536681,4788857.954355,480151093.448148,394055644.247287,397936566.09509,467122483.236922,484911841.479392,325724031.274835,326383642.536681,769079346.043944,17789358.24247,3880921.847803,659611.261846
326612991.775995,4897188.620979,481518479.185843,394868231.751065,398726089.205868,467285683.849793,486387543.599711,325966381.214149,326612991.775995,769187662.426568,19101859.749918,3857857.454803,646610.561846
326852838.681443,5006125.954291,482206462.523093,395345214.552968,399138015.91659,466765305.753191,487184453.476273,326206830.769797,326852838.681443,769296588.96588,20419147.723082,3792801.363622,646007.911646
326878778.79561,5115081.954291,482505986.626437,396068225.60119,399902471.52952,468802805.495908,487592925.869617,326233156.013842,326878778.79561,769405537.25588,18790120.373709,3834245.92833,645622.781768
326716245.386516,5224292.954291,482964044.584373,396466264.077405,400282530.316401,467994453.003058,488160187.925553,326072019.825505,326716245.386516,769514741.35388,20165734.922495,3816266.238996,644225.561011
326796749.327302,5333312.287605,483914654.59692,396333149.3224,400149698.554396,467680859.634147,489219809.561414,326144489.766291,326796749.327302,769623752.977194,21538949.927267,3816549.231996,652259.561011
329349905.695428,5440633.954251,488422821.295486,399385829.584162,403129693.38109,474044548.950546,493835219.933626,328794737.97068,329349905.695428,769730996.65084,19790670.98308,3743863.796928,555167.724748
330329915.198071,5550957.287563,489089885.157488,400446813.860823,404160569.225452,473379339.648612,494612598.90494,329774752.473323,330329915.198071,769841311.760152,21233259.256328,3713755.364629,555162.724748
330410728.763497,5656512.204191,489385592.232903,401055311.724938,404551342.436089,475736755.737738,495013854.366983,329852047.038749,330410728.763497,769946860.14678,19277098.629245,3496030.711151,558681.724748
330782832.490982,5763000.620817,491245832.430053,401714899.66894,405110111.633751,476249033.168069,496980571.411759,330253396.755574,330782832.490982,770053336.994406,20731538.24369,3395211.964811,529435.735408
332128882.054279,5871839.954129,492845181.697322,403059967.214434,406406158.810244,476474386.747553,498688740.48034,331615019.025385,332128882.054279,770162156.795718,22214353.732787,3346191.59581,513863.028894
332315869.386539,5982269.754087,493871488.278431,404044293.976854,407211600.712664,479612788.009375,499825464.011407,331790175.155447,332315869.386539,770272573.745676,20212676.002032,3167306.73581,525694.231092
336148581.131869,6093083.420711,497854373.387426,408087045.744984,411199396.320237,482145838.970914,503919142.998026,335622937.990577,336148581.131869,770383367.6233,21773304.027112,3112350.575253,525643.141292
337265240.63634,6205603.420711,499679718.377873,409258982.422741,412392614.652639,482503068.552547,505856988.680473,336714993.230323,337265240.63634,770495868.3153,23353920.127926,3133632.229898,550247.406017
337635853.101269,6317187.420711,501261893.085866,409910496.777065,413254821.086375,486283318.623602,507550727.307466,336936605.085783,337635853.101269,770607432.2343,21267408.683864,3344324.30931,699248.015486
342781555.530327,6428071.420711,503949478.675302,411089396.490597,414333882.984384,487465041.532014,510349179.934902,342104139.075613,342781555.530327,770718299.2723,22884138.402888,3244486.493787,677416.454714
343617227.898526,6539709.754023,505364717.466475,412482272.5688,415479543.362803,487366179.179989,511876035.950387,343134041.366826,343617227.898526,770829916.496612,24509856.770398,2997270.794003,483186.5317
344073313.990553,6652650.754023,505789804.805337,413210988.636301,416213568.079884,490095674.202369,512414049.383249,343558297.437146,344073313.990553,770942842.590612,22318375.18088,3002579.443583,515016.553407
345033031.289032,6765112.087335,507614113.41671,414066414.683841,416981531.221894,490340238.178147,514350808.019934,344552767.711482,345033031.289032,771055292.615924,24010569.841787,2915116.538053,480263.57755
346276375.62797,6861432.982535,509018648.491,415565195.000987,418462113.215018,490383484.123256,515851651.653424,345795980.79042,346276375.62797,771151601.175124,25468167.530168,2896918.214031,480394.83755
346469825.147499,6968973.524139,509322938.85401,417269219.51636,420214840.495382,493164900.514975,516263185.714038,345992595.812119,346469825.147499,771258844.872728,23098285.199063,2945620.979022,477229.33538
