name,contract_address,tokenId,supply,creators,transfersCount,accountName,accountAddress
1st Edition Artist,KT1FEG1HkfBNhcggVCQruCE69Bw3CsYimPqU,0,17,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Flow state,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,808262,800,['tz2LjW2Zw6VY8G5aaH7JUBN4XdYSF3mKqGh8'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
056,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,808600,555,['KT1PASapQPRFwJ1nCqLFewY9c22LyXNSwnUk'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
I AM UNFOLDING #20,KT1U6EHmNxJTkvaWJ4ThczG4FSDaHC21ssvi,1508116,1,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Clerestory #318,KT1U6EHmNxJTkvaWJ4ThczG4FSDaHC21ssvi,1514198,1,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
DUNES I,KT1RQbjsjwcMRwSjoB3Rbs7vDDBHEgkvu6gr,0,20,['tz1KjuVj6gJXmUeTVz2GyThsGMVSvhMZY3UZ'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Generative Colored Dots #157,KT1LFVvs8YqrMTkxaPzzQbt6xcD15wDnAGBY,46,1,['tz1L4bYQePbjADYHRzC8E1dBZGiCaDPK5G7G'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Generative Colored Dots #187,KT1LFVvs8YqrMTkxaPzzQbt6xcD15wDnAGBY,76,1,['tz1L4bYQePbjADYHRzC8E1dBZGiCaDPK5G7G'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Debug Mode #1: Impressions of Order,KT1TqtUab9kQ78Uz6HRQpBCVkm3VUUpsofer,0,300,['tz1dFcfEbAb9abXBEXERV4uMv48e4x17MuBb'],2,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
futr. Annuary 2022,KT1BzwRMjQptAdGDmaSiXRY7FsJzWUESRjkN,0,750,"['tz1TqCxbb7SoWwzYo6aYhx4ciQjsHbNs2rtZ', 'tz1UKozV9Nr7L3AUyFwYbhDvXEXACiLHL9Yk']",1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Iteration is Usually Recursive — Introduction: Finding answers in pre-computational art,KT1GtbuswcNMGhHF2TSuH1Yfaqn16do8Qtva,961,256,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
peripheral vision loss,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,810035,100,['tz1fnrNZjMZgkuaHXFgvodk3N1TuXcvcaFgB'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Thingamabob (cp_11),KT1EiCoiYSDDwn6x1aTbHMuSET4sYfPCviz1,10,40,['tz1U8x9dUtdv4mtLUvaukpMNVi1wvNxr1gy2'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
