name,contract_address,tokenId,supply,creators,transfersCount,accountName,accountAddress
Hic et nunc variation,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,13873,100,['tz1QAevDTqQ92FWh7fXrS6esiFmFgnsEqi1b'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Fluid Light ,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,12804,500,['tz1YJvMiZyXnzvV9pxtAiuCFvaG7XoBZhbUQ'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Girl with a Pearl Earring,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,14106,100,['tz1cjn8DAkb7FsCHMJsJq17uRFWhCrGxnzqd'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
"suprematist polyline rects for #objkt4objkt, red",KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,14186,33,['tz1eCX4smQ3LbxwDR3pqNoLQvNNKiHJtpwYz'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Ocells,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,14515,100,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],3,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative Priroda. Name: number IX,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,14612,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Fragments from The Cross,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,11192,100,['tz1YJvMiZyXnzvV9pxtAiuCFvaG7XoBZhbUQ'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative Priroda. Name: number VIII,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,14879,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Tarko Morë,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,16407,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Tarko Rastë,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,16495,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
MARTE chave,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,16596,5,['tz1QhXND5Q9YPCky14uiRZrf3qkXbxSuKJLS'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
"Ping Pong, the Isolation Games",KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,13929,100,['tz2GLYoq3erGG5ajCxrYjk5aNMeHw4kDtzMV'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
RioGrandeCanyon_C01,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,14786,10,['tz1V84gmD8MsmLuCfT9M1LDaTjpJb4eAejvM'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative Priroda. Name: number V,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,16675,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Helicopter Optional,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,15723,100,['tz1h5Dz3iwc87KwUSQtBJA9QXf9afg26rRft'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
From Process | Emergence I,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,17620,10,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],3,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
From Process | Emergence III,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,17630,10,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
From Process | Emergence II,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,17632,10,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],4,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
